task_id,outcome,model,model_family,split,metric,value,lower_ci,upper_ci,status,n,events,patient_groups,bootstrap_b,bootstrap_success,bootstrap_failures,bootstrap_minimum_success_required,bootstrap_method,validation_cohort_n,coverage_rate,source_id
P1_03-evaluation-P1,P1,lightgbm__raw,gbdt,validation_2024,Brier,0.009807537552652876,0.008729185220523327,0.01082782026182642,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,lightgbm__raw,gbdt,validation_2024,calibration_in_large,-0.10010029005557501,-0.2206521842873085,0.014721204715563612,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,lightgbm__raw,gbdt,validation_2024,calibration_intercept,0.009330417035949915,-0.2593774038302025,0.3250674237631832,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,lightgbm__raw,gbdt,validation_2024,calibration_slope,1.0461948468754283,0.9507185821079137,1.171009302172134,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l1__isotonic,linear,validation_2024,AUROC,0.8198347650411443,0.7744493401450758,0.862372135537979,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l1__isotonic,linear,validation_2024,AUPRC,0.2090271980402881,0.14381130923179702,0.30190751393432014,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l1__isotonic,linear,validation_2024,Brier,0.01291792134742586,0.012111051128086114,0.013670869129784793,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l1__isotonic,linear,validation_2024,calibration_in_large,0.7212169906572873,0.6379183884284015,0.8000059102350512,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l1__isotonic,linear,validation_2024,calibration_intercept,0.4378557217402488,-0.21808159490991985,1.103502019303399,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l1__isotonic,linear,validation_2024,calibration_slope,0.9322097953973505,0.7850742811187101,1.0967384578413049,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l1__platt,linear,validation_2024,AUROC,0.8116987311097326,0.7625905570998922,0.857015584828296,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l1__platt,linear,validation_2024,AUPRC,0.22984526001332442,0.1589265673598076,0.3263948731271437,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l1__platt,linear,validation_2024,Brier,0.012863043076718816,0.0124179407004691,0.013322596405694798,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l1__platt,linear,validation_2024,calibration_in_large,0.7390048374114894,0.6821226727112146,0.7979983636072951,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l1__platt,linear,validation_2024,calibration_intercept,0.9243209306540262,0.2529171950962467,1.5930991076103278,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l1__platt,linear,validation_2024,calibration_slope,1.045340061412235,0.8824585765608816,1.2172700182794611,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l1__raw,linear,validation_2024,AUROC,0.8158119166775114,0.7693742772466072,0.8601316884839977,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l1__raw,linear,validation_2024,AUPRC,0.24268161218135606,0.16848043356472653,0.34160936257249075,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l1__raw,linear,validation_2024,Brier,0.04917008740606151,0.044953971280588555,0.053298083838272614,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l1__raw,linear,validation_2024,calibration_in_large,-5.969048056337743,-6.664992005258479,-5.2864848415922365,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l1__raw,linear,validation_2024,calibration_intercept,-3.058866722339061,-3.13169704163826,-2.9890505529734135,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l1__raw,linear,validation_2024,calibration_slope,0.17658635415220975,0.14941213023863822,0.20650435333664097,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l2__isotonic,linear,validation_2024,AUROC,0.8323865825877881,0.7855096729523634,0.8752583722676456,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l2__isotonic,linear,validation_2024,AUPRC,0.24614311229061098,0.16864972624225485,0.3399815524968646,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l2__isotonic,linear,validation_2024,Brier,0.012499873529059565,0.011592620805255274,0.013402327611896655,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l2__isotonic,linear,validation_2024,calibration_in_large,0.6892994029749931,0.587591458109179,0.7810302241353065,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l2__isotonic,linear,validation_2024,calibration_intercept,0.035112052975403096,-1.056689848002159,0.9679625736544666,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l2__isotonic,linear,validation_2024,calibration_slope,0.846320312356679,0.615394800468497,1.0560569966453643,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l2__platt,linear,validation_2024,AUROC,0.8326695970455311,0.7888412451686947,0.8769184254201926,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l2__platt,linear,validation_2024,AUPRC,0.26099081282602166,0.18627606411786923,0.35682724767039126,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l2__platt,linear,validation_2024,Brier,0.012511794451356688,0.011946078330242586,0.013056390348279089,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l2__platt,linear,validation_2024,calibration_in_large,0.7191447615554234,0.6550310400906424,0.7820822689781853,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l2__platt,linear,validation_2024,calibration_intercept,0.9941048350729966,0.4076820825321402,1.6480403301670006,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l2__platt,linear,validation_2024,calibration_slope,1.068591164887495,0.9243762872850375,1.2382711896251881,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l2__raw,linear,validation_2024,AUROC,0.8325874723144896,0.7864980092174685,0.8755876876298383,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l2__raw,linear,validation_2024,AUPRC,0.273667127191066,0.18999664677143802,0.3751689247067376,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l2__raw,linear,validation_2024,Brier,0.05130816542333942,0.04701681023761076,0.055670196001939065,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,logistic_l2__raw,linear,validation_2024,calibration_in_large,-6.194304346977244,-6.943344114676991,-5.504694698579785,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
