outcome,model,model_family,curve_type,grid_prediction,observed_probability,lower_ci,upper_ci,bootstrap_b,bootstrap_success,bootstrap_failures,bootstrap_minimum_success_required,status,kernel_bandwidth_logit,n,events,validation_cohort_n,coverage_rate,source_id
P1,catboost__platt,gbdt,flexible_kernel,0.0014801128518110163,0.0002076163720761892,8.075134523199578e-06,0.0005777336111225451,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.0017676333744356156,0.0005920561356111584,4.492924525355717e-05,0.0015368135012323913,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.0020896711377879247,0.0012303462577545837,0.0001626993469588682,0.002849414209522178,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.002458534262086766,0.002046808963699919,0.00040821848812267126,0.004197043247999105,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.0028860164866307326,0.002856912777136567,0.0006915944848362857,0.005593370639081852,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.0033933027741530988,0.00346674773327047,0.0009569223288113575,0.006653687994871207,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.004093624856324001,0.003977545450134511,0.0013970309736292077,0.007001888167018784,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.00501555636727389,0.005132548816344475,0.0022545747903996703,0.008594384518152467,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.006235763564079871,0.007759980399342269,0.0034108345961851648,0.01264123294357666,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.007909856186072753,0.011177404952931848,0.0056865391980665736,0.01754545811417761,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.010596491910423621,0.015481040480991273,0.009083038487374273,0.02289541130520865,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.015697351784383057,0.022899242264833294,0.011897318255751693,0.03517401291949333,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.028575151280309307,0.038208894378693924,0.01938702835480843,0.0581014627619988,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.25224564878797184,0.4641926665904406,0.3142251040725944,0.6244334929705164,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__raw,gbdt,flexible_kernel,5.1763447815986874e-05,5.091087606837652e-27,2.53859761800187e-33,1.693629018693645e-26,2000,2000,0,1900,ESTIMATED,0.33520513389171713,7504.0,107.0,7504,1.0,s0010
